INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-06T18:00:00-00:00,2019-07-06T19:00:00-00:00,7/6/2019,12,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,6
2019-07-06T16:00:00-00:00,2019-07-06T17:00:00-00:00,7/6/2019,10,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.81566,6
2019-07-06T19:00:00-00:00,2019-07-06T20:00:00-00:00,7/6/2019,13,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,6
2019-07-06T21:00:00-00:00,2019-07-06T22:00:00-00:00,7/6/2019,15,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,10,6
2019-07-07T04:00:00-00:00,2019-07-07T05:00:00-00:00,7/6/2019,22,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.01,6
2019-07-07T05:00:00-00:00,2019-07-07T06:00:00-00:00,7/6/2019,23,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,10.01,6
2019-07-06T10:00:00-00:00,2019-07-06T11:00:00-00:00,7/6/2019,4,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,6
2019-07-06T08:00:00-00:00,2019-07-06T09:00:00-00:00,7/6/2019,2,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.79715,6
2019-07-06T09:00:00-00:00,2019-07-06T10:00:00-00:00,7/6/2019,3,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.30375,6
2019-07-06T14:00:00-00:00,2019-07-06T15:00:00-00:00,7/6/2019,8,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,6
2019-07-06T23:00:00-00:00,2019-07-07T00:00:00-00:00,7/6/2019,17,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,11.81,6
2019-07-06T15:00:00-00:00,2019-07-06T16:00:00-00:00,7/6/2019,9,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.52,6
2019-07-06T20:00:00-00:00,2019-07-06T21:00:00-00:00,7/6/2019,14,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,22.46311,6
2019-07-07T03:00:00-00:00,2019-07-07T04:00:00-00:00,7/6/2019,21,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,14.67624,6
2019-07-07T06:00:00-00:00,2019-07-07T07:00:00-00:00,7/6/2019,24,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,13.97365,6
2019-07-06T13:00:00-00:00,2019-07-06T14:00:00-00:00,7/6/2019,7,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.73759,6
2019-07-06T17:00:00-00:00,2019-07-06T18:00:00-00:00,7/6/2019,11,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.12,6
2019-07-07T10:00:00-00:00,2019-07-07T11:00:00-00:00,7/7/2019,4,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.01,7
2019-07-08T04:00:00-00:00,2019-07-08T05:00:00-00:00,7/7/2019,22,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,11.40313,7
2019-07-07T18:00:00-00:00,2019-07-07T19:00:00-00:00,7/7/2019,12,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,7
2019-07-08T02:00:00-00:00,2019-07-08T03:00:00-00:00,7/7/2019,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,17.35193,7
2019-07-08T06:00:00-00:00,2019-07-08T07:00:00-00:00,7/7/2019,24,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,10.01,7
2019-07-07T07:00:00-00:00,2019-07-07T08:00:00-00:00,7/7/2019,1,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.06126,7
2019-07-07T09:00:00-00:00,2019-07-07T10:00:00-00:00,7/7/2019,3,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.01,7
2019-07-07T12:00:00-00:00,2019-07-07T13:00:00-00:00,7/7/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,8.83007,7
2019-07-07T16:00:00-00:00,2019-07-07T17:00:00-00:00,7/7/2019,10,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74193,7
2019-07-07T22:00:00-00:00,2019-07-07T23:00:00-00:00,7/7/2019,16,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,15.78434,7
2019-07-08T00:00:00-00:00,2019-07-08T01:00:00-00:00,7/7/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,15.96,7
